,microGridType,ParamSet,SampleSize,Mean,StdDev
0,mgrid1,0,100,0.7891323568005053,0.0013992907318413448
1,mgrid1,0,250,0.7840036302702319,0.0009399715092721366
2,mgrid1,0,500,0.7823699667676464,0.0006729247077468178
3,mgrid1,0,1000,0.7815870017919945,0.00046299229005589083
4,mgrid1,0,5000,0.7809713643909837,0.00020785979598058005
5,mgrid1,0,10000,0.7809276112448836,0.00015967471171933606
6,mgrid1,0,50000,0.780826752808558,6.706844975523974e-05
7,mgrid1,0,100000,0.7808210432136875,4.699995843214729e-05
8,mgrid1,1,100,1.606448292602628,0.01176694020742687
9,mgrid1,1,250,1.5978060452234197,0.007347832902142733
10,mgrid1,1,500,1.5923957321503073,0.005754906091190689
11,mgrid1,1,1000,1.591509349918024,0.0035927745817661647
12,mgrid1,1,5000,1.5903651255928113,0.0017434306331406203
13,mgrid1,1,10000,1.5901967996633948,0.0011357421199973774
14,mgrid1,1,50000,1.5900189993971998,0.0004913461066358346
15,mgrid1,1,100000,1.5900279016836543,0.00036637937651256864
16,mgrid1,2,100,1.3314858763522408,0.008149898689336296
17,mgrid1,2,250,1.3236346601978943,0.005291875429736221
18,mgrid1,2,500,1.3206872780712136,0.003809721657423833
19,mgrid1,2,1000,1.3193758761443655,0.0026257639767045962
20,mgrid1,2,5000,1.318159006171866,0.0011278689440738197
21,mgrid1,2,10000,1.317928998183745,0.0007972574060019529
22,mgrid1,2,50000,1.3178126163131543,0.00036828657586523614
23,mgrid1,2,100000,1.3178786626344705,0.00026933319974473466
24,mgrid1,3,100,1.927346909425859,0.02200805835587111
25,mgrid1,3,250,1.9195546052323693,0.014508587195021875
26,mgrid1,3,500,1.9136977210136537,0.010172857256300905
27,mgrid1,3,1000,1.911896617428265,0.005931065185384283
28,mgrid1,3,5000,1.9114115445921194,0.0030079983369974642
29,mgrid1,3,10000,1.9112114522319805,0.0021024801056090947
30,mgrid1,3,50000,1.9107445416682654,0.0010789848884996203
31,mgrid1,3,100000,1.910779675084563,0.0006733869414157324
32,mgrid1,4,100,1.4222315231080578,0.010858220984408914
33,mgrid1,4,250,1.4114134854360365,0.005660930732563322
34,mgrid1,4,500,1.4102502760340478,0.0048279927641343015
35,mgrid1,4,1000,1.4082760298757657,0.0032559717953267783
36,mgrid1,4,5000,1.4073017763760267,0.0015242645150368842
37,mgrid1,4,10000,1.407087803711016,0.001265654300695469
38,mgrid1,4,50000,1.407089518934637,0.0004787236539097637
39,mgrid1,4,100000,1.4070141146825677,0.00031834444710965683
40,mgrid2,0,100,1.198551587581881,0.007194869131533791
41,mgrid2,0,250,1.1912330634279977,0.004330536784379358
42,mgrid2,0,500,1.1888201075629128,0.003804074172340404
43,mgrid2,0,1000,1.1874434663159483,0.002586054813220299
44,mgrid2,0,5000,1.1866840684118838,0.0011176613927927873
45,mgrid2,0,10000,1.1864276476823943,0.000757466619883309
46,mgrid2,0,50000,1.1862852764520018,0.0002951153922263786
47,mgrid2,0,100000,1.1862709058291727,0.00022397949603601488
48,mgrid2,1,100,2.464843022849203,0.018537645592472132
49,mgrid2,1,250,2.448889312167242,0.011060083097011229
50,mgrid2,1,500,2.442652087967834,0.008016902564214865
51,mgrid2,1,1000,2.4404266257707277,0.005284107687192518
52,mgrid2,1,5000,2.4389734137978896,0.002337546461238664
53,mgrid2,1,10000,2.438458956229978,0.0016347568292857423
54,mgrid2,1,50000,2.4384415764568543,0.0007379471252071667
55,mgrid2,1,100000,2.438576237307673,0.0005691041937301776
56,mgrid2,2,100,7.7533789942685045,0.05917487071754435
57,mgrid2,2,250,7.707400260050239,0.035083634096032754
58,mgrid2,2,500,7.6944482269059575,0.0238869189654159
59,mgrid2,2,1000,7.687409512791959,0.013883967345011797
60,mgrid2,2,5000,7.6815503045232445,0.00793524933070674
61,mgrid2,2,10000,7.680439511249021,0.005377993195009458
62,mgrid2,2,50000,7.680123253414686,0.0022952879805863027
63,mgrid2,2,100000,7.680323065068915,0.0017897772958615434
64,mgrid2,3,100,1.201358811395712,0.005979034998046327
65,mgrid2,3,250,1.1941839845452966,0.0037811786076282325
66,mgrid2,3,500,1.1914429192685403,0.002308331868978797
67,mgrid2,3,1000,1.1904327677033693,0.00212617667930901
68,mgrid2,3,5000,1.1895684738112124,0.0008885958616165443
69,mgrid2,3,10000,1.1895170236879646,0.000634751963793596
70,mgrid2,3,50000,1.1893504085445405,0.0002904561390393122
71,mgrid2,3,100000,1.1893624753107326,0.00018307847395020036
72,mgrid2,4,100,2.552263811371502,0.02266411049424143
73,mgrid2,4,250,2.539217136070664,0.013191909168366125
74,mgrid2,4,500,2.5326134398995195,0.009719959575185256
75,mgrid2,4,1000,2.5287682081501055,0.006080134538232943
76,mgrid2,4,5000,2.5273971151566146,0.0033193676748181082
77,mgrid2,4,10000,2.527212555709301,0.0022381807623502075
78,mgrid2,4,50000,2.527112775345715,0.0010593297791180074
79,mgrid2,4,100000,2.5272254613865224,0.0006882775108002769
